"Component","DetectedVersion","DetectedPath","Status","Notes"
"Windows","Microsoft Windows 11 Home Single Language; Version 10.0.26200; Build 26200","","DETECTED_REVIEW_REQUIRED","Release oncesinde kullanici tarafindan dogrulanacak."
"Python","Python 3.11.1","<PRIVATE_WORKING_REPOSITORY>\.venv\Scripts\python.exe","DETECTED","Paket surumu denetiminde kullanilan yorumlayici."
"TotalSegmentator","2.15.0","<PRIVATE_WORKING_REPOSITORY>\.venv\Lib\site-packages","DETECTED",""
"SimpleITK","2.5.5","<PRIVATE_WORKING_REPOSITORY>\.venv\Lib\site-packages","DETECTED",""
"pydicom","3.0.2","<PRIVATE_WORKING_REPOSITORY>\.venv\Lib\site-packages","DETECTED",""
"meshio","5.3.5","<PRIVATE_WORKING_REPOSITORY>\.venv\Lib\site-packages","DETECTED",""
"NumPy","2.4.6","<PRIVATE_WORKING_REPOSITORY>\.venv\Lib\site-packages","DETECTED",""
"Pydantic","2.13.4","<PRIVATE_WORKING_REPOSITORY>\.venv\Lib\site-packages","DETECTED",""
"LangChain Core","1.4.9","<PRIVATE_WORKING_REPOSITORY>\.venv\Lib\site-packages","DETECTED",""
"LangGraph","1.2.9","<PRIVATE_WORKING_REPOSITORY>\.venv\Lib\site-packages","DETECTED",""
"PyVista","","","NOT_INSTALLED","Optional dependency is not installed; this is not an audit failure."
"VTK","","","NOT_INSTALLED","Optional dependency is not installed; this is not an audit failure."
"scikit-image","0.26.0","<PRIVATE_WORKING_REPOSITORY>\.venv\Lib\site-packages","DETECTED",""
"trimesh","4.12.2","<PRIVATE_WORKING_REPOSITORY>\.venv\Lib\site-packages","DETECTED",""
"pypdf","6.14.2","<PRIVATE_WORKING_REPOSITORY>\.venv\Lib\site-packages","DETECTED",""
"requests","2.34.2","<PRIVATE_WORKING_REPOSITORY>\.venv\Lib\site-packages","DETECTED",""
"python-dotenv","1.2.2","<PRIVATE_WORKING_REPOSITORY>\.venv\Lib\site-packages","DETECTED",""
"google-genai","2.11.0","<PRIVATE_WORKING_REPOSITORY>\.venv\Lib\site-packages","DETECTED",""
"3D Slicer","","","NOT_DETECTED","Insan segmentasyon incelemesinde kullanilan kesin surumu dogrulayin."
"FEBio","","C:\Program Files\FEBioStudio\bin\FEBioStudio.exe","DETECTED_REVIEW_REQUIRED","Solver executable ve build bilgisini dogrulayin."
"FEBioStudio","","C:\Program Files\FEBioStudio\bin\FEBioStudio.exe","DETECTED_REVIEW_REQUIRED","Raporda kullanilacaksa kesin surumu dogrulayin."
"Gmsh","","","NOT_DETECTED","Publication mesh rotasinda kullanilip kullanilmadigini dogrulayin."
"TetGen","","","NOT_DETECTED","Executable veya Python paket rotasini dogrulayin."
