RelativePath,Status,SourcePath,LastWriteTime,SizeBytes,SHA256,ProvenanceNote
agent_system\run_agent10_febio_model_generation.py,RECOVERED,PRIVATE_WORKING_REPOSITORY\agent_system\run_agent10_febio_model_generation.py,2026-07-14 17:53:07,2799,0144907E5F16EA7A6DA46C7FC771B9E4FA534456C204A89555EA4CA18D73E235,Used by successful pipeline but absent from checkpoint commit
agent_system\run_agent12_febio_solver_execution.py,RECOVERED,PRIVATE_WORKING_REPOSITORY\agent_system\run_agent12_febio_solver_execution.py,2026-07-14 18:37:03,2546,1C35DA73B737C6D100C617FED252506D7E0781D063F9DA47898B27253BA0F914,Used by successful pipeline but absent from checkpoint commit
agent_system\run_agent13_solver_result_validation.py,RECOVERED,PRIVATE_WORKING_REPOSITORY\agent_system\run_agent13_solver_result_validation.py,2026-07-14 18:49:54,2111,AC2470EE4C47B55EC498B05E17F66DD394381304AD04CA096B9A2B811D36BA94,Used by successful pipeline but absent from checkpoint commit
agent_system\run_agent17_full_pipeline_audit.py,RECOVERED,PRIVATE_WORKING_REPOSITORY\agent_system\run_agent17_full_pipeline_audit.py,2026-07-16 15:55:44,1386,1FF2C892FD33729B7069ADB800F92D5EC625265DD9EB394B821FFF33B0F913B4,Used by successful pipeline but absent from checkpoint commit
agent_system\schemas\febio_model_generation_schema.py,RECOVERED,PRIVATE_WORKING_REPOSITORY\agent_system\schemas\febio_model_generation_schema.py,2026-07-14 17:50:53,1324,14386F42A1A3D90ADE1D68C50C9D504F5410F83B54EA234BBCDC468537F68748,Used by successful pipeline but absent from checkpoint commit
agent_system\schemas\febio_solver_execution_schema.py,RECOVERED,PRIVATE_WORKING_REPOSITORY\agent_system\schemas\febio_solver_execution_schema.py,2026-07-14 18:36:11,1166,F8C29F59014965B5181C13F774C1C512CDF4B1D71D34E537CB1390121CF56CF9,Used by successful pipeline but absent from checkpoint commit
agent_system\schemas\solver_result_validation_schema.py,RECOVERED,PRIVATE_WORKING_REPOSITORY\agent_system\schemas\solver_result_validation_schema.py,2026-07-14 18:49:29,1254,DF1FA2F6B35FEEABB6D1EA5EF32F3DFCA68BE03AE528E1492017CDE095219947,Used by successful pipeline but absent from checkpoint commit
agent_system\schemas\full_pipeline_audit_schema.py,RECOVERED,PRIVATE_WORKING_REPOSITORY\agent_system\schemas\full_pipeline_audit_schema.py,2026-07-16 15:55:30,733,96A5A862961A9E1A0A4F1BEA291AC457511A94DAC124422DB54D2D7AD98B3AF0,Used by successful pipeline but absent from checkpoint commit
agent_system\tools\solver_result_validation_tools.py,RECOVERED,PRIVATE_WORKING_REPOSITORY\agent_system\tools\solver_result_validation_tools.py,2026-07-14 18:49:39,8739,87785EAB6AF93FC2A51221EC00098D6FC311DBC06C95A3D3247BE6293AE6D4E2,Used by successful pipeline but absent from checkpoint commit
agent_system\tools\full_pipeline_audit_tools.py,RECOVERED,PRIVATE_WORKING_REPOSITORY\agent_system\tools\full_pipeline_audit_tools.py,2026-07-16 16:12:16,8744,43CD08350C61409D72C57806D0336D25D4BAC17B92880BF6C23AE2F8EC6B0A4C,Used by successful pipeline but absent from checkpoint commit
