"Component","ExactVersionOrBuild","Role","VerificationStatus","Notes"
"Windows","Microsoft Windows 11 Home Single Language; Version 10.0.26200; Build 26200","Validated operating system environment","VERIFIED_LOCAL_ENVIRONMENT","Detected from Win32_OperatingSystem."
"Python","Python 3.11.1","Publication Python environment","VERIFIED_LOCAL_ENVIRONMENT","Private project virtual environment."
"3D Slicer","5.12.0","Human segmentation review/editing","VERIFIED_EXECUTABLE_AND_REGISTRY","Executable folder and Windows registry agree."
"TotalSegmentator","2.15.0","Automated segmentation","VERIFIED_PYTHON_DISTRIBUTION",""
"Gmsh","4.15.2","Agent09 tetrahedral volume-mesh route","VERIFIED_COMMAND_OUTPUT","gmsh.exe --version returned 4.15.2."
"FEBio","4.12.0","Finite-element solver","VERIFIED_SOLVER_BANNER","febio4.exe solver banner reported version 4.12.0."
"FEBioStudio","3.1","FEBio installation/model inspection interface","VERIFIED_WINDOWS_REGISTRY","University of Utah distribution."
"SimpleITK","2.5.5","Python dependency","VERIFIED_PYTHON_DISTRIBUTION",""
"pydicom","3.0.2","Python dependency","VERIFIED_PYTHON_DISTRIBUTION",""
"meshio","5.3.5","Python dependency","VERIFIED_PYTHON_DISTRIBUTION",""
"NumPy","2.4.6","Python dependency","VERIFIED_PYTHON_DISTRIBUTION",""
"Pydantic","2.13.4","Python dependency","VERIFIED_PYTHON_DISTRIBUTION",""
"LangChain Core","1.4.9","Python dependency","VERIFIED_PYTHON_DISTRIBUTION",""
"LangGraph","1.2.9","Python dependency","VERIFIED_PYTHON_DISTRIBUTION",""
"scikit-image","0.26.0","Python dependency","VERIFIED_PYTHON_DISTRIBUTION",""
"trimesh","4.12.2","Python dependency","VERIFIED_PYTHON_DISTRIBUTION",""
"pypdf","6.14.2","Python dependency","VERIFIED_PYTHON_DISTRIBUTION",""
"requests","2.34.2","Python dependency","VERIFIED_PYTHON_DISTRIBUTION",""
"python-dotenv","1.2.2","Python dependency","VERIFIED_PYTHON_DISTRIBUTION",""
